table,column,type,nullable,description_ko,example,must_fill_now,notes
cbt_session_summary,session_id,string,N,세션 ID,S_0001,Y,
cbt_session_summary,user_id,string,N,유저 ID,U000001,Y,
cbt_session_summary,date,date,N,로컬 날짜,2026-03-01,Y,
cbt_session_summary,started_at,datetime,N,시작 시각,2026-03-01T20:00:00,Y,
cbt_session_summary,duration_sec,int,Y,세션 길이(초),900,Y,
cbt_session_summary,emotion_intensity_pre_0_100,int,Y,세션 전 감정 강도,72,Y,
cbt_session_summary,emotion_intensity_post_0_100,int,Y,세션 후 감정 강도,51,Y,
cbt_session_summary,belief_pre_0_100,int,Y,세션 전 믿음 강도,80,Y,
cbt_session_summary,belief_post_0_100,int,Y,세션 후 믿음 강도,60,Y,
cbt_session_summary,distortion_total_count,int,Y,탐지된 인지왜곡 총량,3,Y,
cbt_session_summary,reframe_quality_0_5,int,Y,리프레이밍 품질,3,Y,
cbt_session_summary,homework_commitment_0_10,int,Y,숙제 실행 의지,7,Y,
cbt_session_summary,homework_completed_prev_flag,bool,Y,직전 과제 완료 여부,1,Y,
cbt_session_summary,session_helpfulness_0_10,int,Y,세션 도움점수,8,Y,
cbt_session_summary,planner_action,string,Y,선택된 intervention enum,review_evidence,Y,
cbt_risk_signal,risk_signal_id,string,N,위험 신호 ID,R_0001,Y,
cbt_risk_signal,user_id,string,N,유저 ID,U000001,Y,
cbt_risk_signal,date,date,N,로컬 날짜,2026-03-01,Y,
cbt_risk_signal,functional_impairment_flag,bool,Y,기능저하 여부,1,Y,
cbt_risk_signal,self_harm_flag,bool,Y,자해 신호 여부,0,Y,
cbt_risk_signal,suicide_risk_level,int,Y,자살 위험 레벨 0-3,0,Y,
cbt_risk_signal,violence_risk_flag,bool,Y,타해 위험 여부,0,Y,
cbt_risk_signal,risk_source,enum,N,cbt_session/manual_review/system_rule,cbt_session,Y,
cbt_case_memory,hypothesis_id,string,N,가설 ID,H_001,N,내부 기억용
cbt_case_memory,core_belief_text,string,Y,핵심믿음 가설,나는 실패자다,N,초기 모델 feature로 비권장
cbt_case_memory,confidence,float,Y,가설 신뢰도,0.42,N,
