exposure_id,user_id,date,challenge_id,shown_flag,source,reason_code,accepted_flag,declined_flag
EXP_U000002_1,U000002,2025-06-16,CH_ACT_001,1,model_reco,dep_low_energy,0,0
EXP_U000002_2,U000002,2025-06-17,CH_ACT_003,1,model_reco,dep_low_activity,0,0
EXP_U000002_3,U000002,2025-06-18,CH_ACT_003,1,model_reco,dep_low_activity,1,0
EXP_U000002_4,U000002,2025-06-26,CH_ACT_002,1,model_reco,dep_low_daylight,0,1
EXP_U000002_5,U000002,2025-06-27,CH_ACT_003,1,model_reco,dep_low_activity,0,0
EXP_U000002_6,U000002,2025-06-29,CH_ACT_003,1,model_reco,dep_low_activity,0,1
EXP_U000002_7,U000002,2025-07-03,CH_ACT_001,1,model_reco,dep_low_energy,1,0
EXP_U000002_8,U000002,2025-07-06,CH_SOC_001,1,model_reco,low_social_contact,1,0
EXP_U000002_9,U000002,2025-08-08,CH_ACT_001,1,model_reco,dep_low_energy,0,0
EXP_U000002_10,U000002,2025-08-10,CH_ACT_001,1,model_reco,dep_low_energy,1,0
EXP_U000002_11,U000002,2025-08-21,CH_ACT_002,1,model_reco,dep_low_daylight,0,1
EXP_U000003_1,U000003,2025-07-28,CH_ACT_002,1,model_reco,dep_low_daylight,0,1
EXP_U000003_2,U000003,2025-07-29,CH_ACT_002,1,model_reco,dep_low_daylight,0,0
EXP_U000003_3,U000003,2025-08-01,CH_ACT_003,1,model_reco,dep_low_activity,1,0
EXP_U000003_4,U000003,2025-08-03,CH_SOC_001,1,model_reco,low_social_contact,0,1
EXP_U000003_5,U000003,2025-08-04,CH_ACT_002,1,model_reco,dep_low_daylight,1,0
EXP_U000003_6,U000003,2025-08-11,CH_SLEEP_001,1,model_reco,ins_high_wake_irregular,0,0
EXP_U000003_7,U000003,2025-08-18,CH_ACT_002,1,model_reco,dep_low_daylight,1,0
EXP_U000003_8,U000003,2025-08-19,CH_SOC_001,1,model_reco,low_social_contact,0,1
EXP_U000003_9,U000003,2025-08-21,CH_ACT_003,1,model_reco,dep_low_activity,0,1
EXP_U000003_10,U000003,2025-08-23,CH_ACT_003,1,model_reco,dep_low_activity,1,0
EXP_U000003_11,U000003,2025-08-24,CH_SOC_001,1,model_reco,low_social_contact,0,0
EXP_U000003_12,U000003,2025-08-26,CH_ACT_002,1,model_reco,dep_low_daylight,0,0
EXP_U000003_13,U000003,2025-08-28,CH_ACT_003,1,model_reco,dep_low_activity,0,1
EXP_U000003_14,U000003,2025-08-29,CH_ACT_003,1,model_reco,dep_low_activity,1,0
EXP_U000003_15,U000003,2025-09-05,CH_ACT_002,1,model_reco,dep_low_daylight,1,0
EXP_U000003_16,U000003,2025-09-06,CH_SOC_001,1,model_reco,low_social_contact,0,1
EXP_U000003_17,U000003,2025-09-07,CH_SOC_001,1,model_reco,low_social_contact,1,0
EXP_U000003_18,U000003,2025-09-09,CH_ACT_003,1,model_reco,dep_low_activity,1,0
EXP_U000003_19,U000003,2025-09-12,CH_ACT_002,1,model_reco,dep_low_daylight,1,0
EXP_U000003_20,U000003,2025-09-15,CH_ACT_003,1,model_reco,dep_low_activity,0,1
EXP_U000003_21,U000003,2025-09-19,CH_ACT_003,1,model_reco,dep_low_activity,0,1
EXP_U000003_22,U000003,2025-09-20,CH_ACT_003,1,model_reco,dep_low_activity,0,0
EXP_U000003_23,U000003,2025-09-29,CH_ACT_002,1,model_reco,dep_low_daylight,0,0
EXP_U000003_24,U000003,2025-10-01,CH_ACT_003,1,model_reco,dep_low_activity,0,0
