column,role,dtype
user_id,id,object
date,id,datetime64[ns]
dep_target_state_today,target,float64
anx_target_state_today,target,float64
ins_target_state_today,target,float64
confidence_score,meta,float64
dep_week_delta_retro,meta,float64
anx_week_delta_retro,meta,float64
ins_week_delta_retro,meta,float64
dep_month_delta_retro,meta,float64
anx_month_delta_retro,meta,float64
ins_month_delta_retro,meta,float64
observed_checkin_days_target,meta,int64
mood_1_5,feature,int64
anxiety_1_5,feature,int64
energy_1_5,feature,int64
alcohol_bucket,feature,float64
caffeine_after_2pm_flag,feature,int64
sleep_total_bucket_num,feature,float64
sleep_latency_bucket_num,feature,float64
daylight_bucket_num,feature,float64
exercise_bucket_num,feature,float64
wake_hour,feature,float64
timezone,feature,float64
age_band,feature,float64
gender,feature,float64
employment_status,feature,float64
relationship_status,feature,float64
cohort_id,feature,float64
adherence_0_1,feature,float64
phq9_total,feature,int64
gad7_total,feature,int64
isi_total,feature,int64
medication_flag,feature,int64
therapy_flag,feature,int64
days_since_onboarding,feature,float64
dep_week_avg,feature,float64
anx_week_avg,feature,float64
ins_week_avg,feature,float64
dep_month_avg,feature,float64
anx_month_avg,feature,float64
ins_month_avg,feature,float64
phq9_last_score,feature,float64
gad7_last_score,feature,float64
isi_last_score,feature,float64
days_since_last_assessment,feature,float64
assessment_overdue_flag,feature,float64
challenge_shown_count_today,feature,float64
challenge_accept_count_today,feature,float64
challenge_completed_count_today,feature,float64
challenge_helpfulness_mean_today,feature,float64
challenge_dropout_count_today,feature,float64
cbt_session_count_today,feature,float64
cbt_helpfulness_mean_today,feature,float64
cbt_homework_commitment_mean_today,feature,float64
risk_any_today,feature,float64
suicide_risk_level_today,feature,float64
functional_impairment_today,feature,float64
self_harm_today,feature,float64
days_since_prev_checkin,feature,float64
sleep_total_bucket_num_lag1,feature,float64
sleep_total_bucket_num_mean_last3obs,feature,float64
sleep_latency_bucket_num_lag1,feature,float64
sleep_latency_bucket_num_mean_last3obs,feature,float64
mood_1_5_lag1,feature,float64
mood_1_5_mean_last3obs,feature,float64
anxiety_1_5_lag1,feature,float64
anxiety_1_5_mean_last3obs,feature,float64
energy_1_5_lag1,feature,float64
energy_1_5_mean_last3obs,feature,float64
daylight_bucket_num_lag1,feature,float64
daylight_bucket_num_mean_last3obs,feature,float64
exercise_bucket_num_lag1,feature,float64
exercise_bucket_num_mean_last3obs,feature,float64
alcohol_bucket_lag1,feature,float64
alcohol_bucket_mean_last3obs,feature,float64
caffeine_after_2pm_flag_lag1,feature,float64
caffeine_after_2pm_flag_mean_last3obs,feature,float64
wake_hour_lag1,feature,float64
wake_hour_mean_last3obs,feature,float64
challenge_shown_count_today_lag1,feature,float64
challenge_shown_count_today_mean_last3obs,feature,float64
challenge_accept_count_today_lag1,feature,float64
challenge_accept_count_today_mean_last3obs,feature,float64
challenge_completed_count_today_lag1,feature,float64
challenge_completed_count_today_mean_last3obs,feature,float64
challenge_helpfulness_mean_today_lag1,feature,float64
challenge_helpfulness_mean_today_mean_last3obs,feature,float64
challenge_dropout_count_today_lag1,feature,float64
challenge_dropout_count_today_mean_last3obs,feature,float64
cbt_session_count_today_lag1,feature,float64
cbt_session_count_today_mean_last3obs,feature,float64
cbt_helpfulness_mean_today_lag1,feature,float64
cbt_helpfulness_mean_today_mean_last3obs,feature,float64
cbt_homework_commitment_mean_today_lag1,feature,float64
cbt_homework_commitment_mean_today_mean_last3obs,feature,float64
risk_any_today_lag1,feature,float64
risk_any_today_mean_last3obs,feature,float64
suicide_risk_level_today_lag1,feature,float64
suicide_risk_level_today_mean_last3obs,feature,float64
functional_impairment_today_lag1,feature,float64
functional_impairment_today_mean_last3obs,feature,float64
self_harm_today_lag1,feature,float64
self_harm_today_mean_last3obs,feature,float64
dep_target_state_today_lag1,feature,float64
dep_target_state_today_mean_last3obs,feature,float64
anx_target_state_today_lag1,feature,float64
anx_target_state_today_mean_last3obs,feature,float64
ins_target_state_today_lag1,feature,float64
ins_target_state_today_mean_last3obs,feature,float64
