target,feature,importance
dep,num__phq9_total,0.5979889863632077
dep,num__gad7_total,0.08300004164007495
dep,num__mood_mean_7d,0.05414287580870658
dep,num__energy_mean_7d,0.01779026891144765
dep,num__avoidance_mean_7d,0.017241762318167392
dep,num__concentration_mean_7d,0.013733016457754519
dep,num__sleep_duration_min_mean_7d,0.009378426865344536
dep,num__isi_total,0.006354140262736032
dep,num__sleep_onset_latency_min_mean_7d,0.005330179352724195
dep,num__sleep_quality_0_10_mean_7d,0.005252544694143972
dep,num__sleep_duration_min_lag1,0.004785714946094092
dep,num__rumination_mean_7d,0.004449679622468555
dep,num__waketime_hour_mean_7d,0.004079307637109488
dep,num__day_of_week,0.003997125969806027
dep,num__social_connectedness_mean_7d,0.003978209171065676
dep,num__irritability_mean_7d,0.0035518074483417003
dep,num__exercise_minutes_today,0.003535570275114993
dep,num__bedtime_hour_lag1,0.003377264504616674
dep,num__anxiety_mean_7d,0.003364530321027617
dep,num__rumination_std_7d,0.003318095611392038
dep,num__bedtime_hour_mean_7d,0.003214613780902999
dep,num__waketime_hour_lag1,0.003208077158833271
dep,num__steps_today,0.003191698433998276
dep,num__daylight_minutes_today,0.002911074331527329
dep,num__stress_std_7d,0.002889407523633932
dep,num__sleep_onset_latency_min_std_7d,0.0027366870660434687
dep,num__sleep_duration_min_std_7d,0.0026787421078500787
dep,num__bedtime_hour_std_7d,0.0026587389862151073
dep,num__steps_mean_7d,0.002579674649397954
dep,num__anxiety_std_7d,0.0024631977888487193
anx,num__gad7_total,0.766365502017111
anx,num__rumination_mean_7d,0.02465272364963213
anx,num__stress_mean_7d,0.016334567941716154
anx,num__anxiety_mean_7d,0.015545751754619239
anx,num__phq9_total,0.01392525839018663
anx,num__concentration_mean_7d,0.013467321128797059
anx,num__mood_mean_7d,0.007744295581941083
anx,num__energy_mean_7d,0.005373362456418767
anx,num__avoidance_mean_7d,0.0044929625416139036
anx,num__irritability_mean_7d,0.004492739152322639
anx,num__social_connectedness_mean_7d,0.00351242060127866
anx,num__sleep_onset_latency_min_mean_7d,0.0033043956065091293
anx,num__waketime_hour_mean_7d,0.002813102261605352
anx,num__day_of_week,0.0027690389203904745
anx,num__bedtime_hour_mean_7d,0.0025654086431998514
anx,num__sleep_quality_0_10_mean_7d,0.002258456611963847
anx,num__exercise_minutes_mean_7d,0.002214702129209672
anx,num__steps_mean_7d,0.002057968797112185
anx,num__sleep_onset_latency_min_std_7d,0.001985610157350911
anx,num__sleep_duration_min_mean_7d,0.001927167989089555
anx,num__awakenings_count_mean_7d,0.0018664252568523579
anx,num__energy_std_7d,0.0017670127951801542
anx,num__sleep_duration_min_std_7d,0.0017468469377484638
anx,num__irritability_std_7d,0.001721094092965176
anx,num__bedtime_hour_lag1,0.0017148595305031445
anx,num__mood_std_7d,0.0016926327725021015
anx,num__steps_today,0.0016857873513938188
anx,num__isi_total,0.0016839530829723247
anx,num__anxiety_std_7d,0.0016277918974296282
anx,num__avoidance_std_7d,0.0016203954404733264
ins,num__sleep_onset_latency_min_mean_7d,0.23233949178761493
ins,num__isi_total,0.08223936401580267
ins,num__sleep_duration_min_mean_7d,0.07839110150599388
ins,num__concentration_mean_7d,0.05852661465748331
ins,num__rumination_mean_7d,0.02764182756446973
ins,num__sleep_quality_0_10_mean_7d,0.026116436666067593
ins,num__anxiety_mean_7d,0.01684776798075978
ins,num__gad7_total,0.015174547379852906
ins,num__stress_mean_7d,0.013134167833105165
ins,num__phq9_total,0.012671331463085259
ins,num__mood_mean_7d,0.01154865570210299
ins,num__anxiety_lag1,0.009310374717910111
ins,num__bedtime_hour_mean_7d,0.008938918413631992
ins,num__waketime_hour_mean_7d,0.00871034926249462
ins,num__sleep_duration_min_std_7d,0.00864817177570304
ins,num__stress_lag1,0.008637119567887252
ins,num__day_of_week,0.008561978098315546
ins,num__social_connectedness_lag1,0.007723215164543364
ins,num__energy_mean_7d,0.007612107670531795
ins,num__exercise_minutes_mean_7d,0.007208799792338378
ins,cat__employment_status_employed,0.007202169086924256
ins,num__screen_time_min_mean_7d,0.007161405466686404
ins,num__awakenings_count_mean_7d,0.007017800189799041
ins,num__sleep_duration_min_lag1,0.006641202987319127
ins,num__energy_std_7d,0.006402455591878629
ins,num__social_connectedness_mean_7d,0.006247503755184292
ins,num__steps_mean_7d,0.006081281783280806
ins,num__waketime_hour_std_7d,0.005983157346241691
ins,num__sleep_onset_latency_min_lag1,0.0059065773841657674
ins,num__avoidance_mean_7d,0.005905606999620142
